Analysis,Reference,Sample_number,Latitude,Longitude,Formation,Final207_235,Final207_235_Prop2SE,Final206_238,Final206_238_Prop2SE,ErrorCorrelation_6_38vs7_35,U238Pb206,U238Pb206_error_2s_abs,Pb207Pb206,Pb207Pb206_error_2s_abs,ErrorCorrelation_38_6vs7_6,FinalAge207_235,FinalAge207_235_Prop2SE,U238Pb206_age,U238Pb206_age_error_2s,FinalAge207_206,Pb207Pb206_age_error_2s,Approx_U_PPM,Approx_Th_PPM,Approx_Pb_PPM,Final_U_Th_Ratio,Si,P,Ti_ppm_m47,Ti,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Hg202_CPS,Pb_ppm_m204,Pb_ppm_m206,Pb_ppm_m207,Pb_ppm_m208,Th,U,Hf176Hf177,Hf176Hf177_error_2s,Lu176Hf177,U/Pb AGE,Hf Chur (t),Hf DM (t),Hf NC(t),Hfi,epsilon,2s,T(DM)_crustal,T(NC)_crustal
MK4_HQ_06_79,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.339,0.14,0.2426,0.0056,0.42607,4.122012,0.09514948,0.0981,0.0036,0.30454,1490,32,1399,29,1577,69,333,412.7,1949,0.814,145400,644,1034,368,1435,1.42,42.2,1.29,8.96,9.45,3.02,32.9,10.41,128.2,46.4,213.5,48.4,474,97.3,9330,166,2.32,322.3,34.6,40.2,412,346.1,,,,,,,,,,,,
MK4_HQ_06_8,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.71,0.16,0.2779,0.0058,0.34208,3.598417,0.0751019,0.0967,0.0037,0.32163,1568,36,1580,30,1552,74,108,79.4,589,1.343,137500,220,692,6.31,745,Below LOD,18.47,0.046,1.2,2.13,0.709,12.71,4.15,55.5,23.17,118.2,27.12,296,65.8,9090,97,Below LOD,116.2,12.28,11.57,79.3,110.9,,,,,,,,,,,,
MK4_HQ_06_80,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.23,0.17,0.2491,0.0075,0.16656,4.014452,0.1208687,0.0933,0.0048,0.47783,1463,40,1432,38,1489,91,77.5,51.8,332,1.468,138000,627,697,Below LOD,1465,Below LOD,4.66,Below LOD,1.04,3.04,0.286,22.74,8.75,121.2,49.2,236.8,50.4,482,96.5,10740,183,4.2,76.3,7.82,7.11,53,81.7,,,,,,,,,,,,
MK4_HQ_06_81,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.85,0.17,0.2879,0.0065,0.3236,3.473428,0.07842058,0.0961,0.0039,0.40999,1605,34,1630,33,1545,76,122.5,140.3,993,0.875,134400,350,680,8.8,1418,Below LOD,35.6,0.101,2.41,4.69,0.986,30.2,10.08,126,46.5,220.6,45.5,429,84.7,9360,231,3,137.3,14.55,20.5,137.9,124.8,,,,,,,,,,,,
MK4_HQ_06_82,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.282,0.14,0.244,0.0057,0.71502,4.098361,0.09574039,0.0967,0.0031,0.11527,1474,32,1407,30,1556,60,361.6,242,918,1.507,131200,379,681,16.3,730,0.355,28.95,0.592,5.61,5.89,3.71,17.4,5.2,60.3,22.4,111.1,25.67,279.3,59.6,12400,303,5.4,312.4,33.49,17.41,218.7,340.9,,,,,,,,,,,,
MK4_HQ_06_83,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,2.126,0.093,0.193,0.0042,0.47495,5.181347,0.1127547,0.0786,0.0029,0.16852,1150,32,1137,23,1159,74,219.7,325.2,1629,0.677,135300,211,682,13,724,Below LOD,39.26,0.275,4.37,6.75,2.05,25.73,6.83,70.5,23.89,101.5,20.52,192.2,38.24,8660,315,5.3,159.3,13.71,31.81,306.8,218.4,0.281928482,5.15E-05,0.001826647,1137,0.282064902,0.282427031,0.28234789,0.281889334,-6.224389004,1.801077938,2.314213639,2.142558822
MK4_HQ_06_84,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.358,0.14,0.2324,0.005,0.48638,4.302926,0.09257586,0.1041,0.0038,0.19366,1500,32,1347,26,1698,70,216,183.7,763,1.162,126500,480,724,45.2,727,0.84,15.43,1.45,12.46,14.56,9.38,31.4,8.45,84,25.58,102.1,19.9,180.2,31.9,10050,452,8.2,184.1,21.07,15.25,174.7,211.4,,,,,,,,,,,,
MK4_HQ_06_85,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,2.307,0.11,0.2041,0.0062,0.49137,4.899559,0.1488352,0.0808,0.0034,0.35009,1209,34,1200,33,1235,78,93.4,68,377,1.364,139600,242,698,23.6,658,Below LOD,9.78,Below LOD,Below LOD,2.54,Below LOD,14.46,4.62,60,22.01,100.1,20.28,194.7,37.4,9750,254,4.5,75.5,6.66,7.87,67.6,97.3,0.281738499,3.57E-05,0.000769141,1200,0.282024554,0.282380919,0.282302499,0.281721092,-10.76015254,1.250348689,2.638335986,2.469396126
MK4_HQ_06_86,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,4.85,0.19,0.3053,0.0067,0.32025,3.275467,0.07188217,0.1151,0.0042,0.4002,1796,32,1717,33,1875,67,248.3,199.2,1474,1.253,135800,352,687,8.9,1342,56,77,5.6,21.8,8.43,1.42,34.6,10.9,131.6,45.5,197.4,38.2,337,61.5,9410,291,7.1,286,36,29,186.8,245.3,,,,,,,,,,,,
MK4_HQ_06_87,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.767,0.15,0.2788,0.0064,0.60129,3.586801,0.08233689,0.0972,0.0033,0.28133,1586,33,1584,32,1567,66,243.2,152,942,1.707,137200,305,688,7,696,Below LOD,21.1,Below LOD,Below LOD,2.35,0.355,11.6,4.23,57.4,22.4,110.4,24.9,256,49.1,12070,471,5.4,255.1,27.22,18.9,145,239.4,,,,,,,,,,,,
