Analysis,Reference,Sample_number,Latitude,Longitude,Formation,Final207_235,Final207_235_Prop2SE,Final206_238,Final206_238_Prop2SE,ErrorCorrelation_6_38vs7_35,U238Pb206,U238Pb206_error_2s_abs,Pb207Pb206,Pb207Pb206_error_2s_abs,ErrorCorrelation_38_6vs7_6,FinalAge207_235,FinalAge207_235_Prop2SE,U238Pb206_age,U238Pb206_age_error_2s,FinalAge207_206,Pb207Pb206_age_error_2s,Approx_U_PPM,Approx_Th_PPM,Approx_Pb_PPM,Final_U_Th_Ratio,Si,P,Ti_ppm_m47,Ti,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Hg202_CPS,Pb_ppm_m204,Pb_ppm_m206,Pb_ppm_m207,Pb_ppm_m208,Th,U,Hf176Hf177,Hf176Hf177_error_2s,Lu176Hf177,U/Pb AGE,Hf Chur (t),Hf DM (t),Hf NC(t),Hfi,epsilon,2s,T(DM)_crustal,T(NC)_crustal
MK1-HQ04-011-165,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.27,0.13,0.2131,0.006,0.27557,4.692633,0.1321248,0.1105,0.0038,0.54144,1478,29,1244,32,1790,61,216.6,224.7,1265,0.931,157600,427,798,18.1,795,0.105,27.15,0.331,3.9,9.44,4.27,36.3,9.41,86.5,25.81,106.1,22.02,203.5,40.7,9290,120,Below LOD,190.7,23.4,25.16,220.7,234.2,,,,,,,,,,,,
MK1-HQ04-012-166,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.36,0.12,0.2265,0.006,0.67391,4.415011,0.1169539,0.1035,0.002,0.10304,1492,27,1319,31,1693,37,489,536,3720,0.894,140500,714,771,8.3,2165,0.342,62.4,0.464,5.66,10.76,3.94,54.4,17.42,195.7,71.8,321,70.1,688,138.7,9190,240,12.1,425,49.6,67.9,468,482,,,,,,,,,,,,
MK1-HQ04-013-167,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,5.565,0.15,0.3263,0.0072,0.43846,3.064664,0.06762361,0.1222,0.0021,0.49551,1911,24,1820,35,1983,31,436.1,128.3,713,3.297,141400,929,801,10.1,1822,0.092,Below LOD,0.166,1.98,7.6,1.75,42.6,14.87,167.3,60.3,264.7,54.8,490,92.2,11300,150,Below LOD,552,75,13.29,118.1,444,,,,,,,,,,,,
MK1-HQ04-014-168,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,2.23,0.095,0.196,0.0049,0.34903,5.102041,0.127551,0.0801,0.0027,0.25187,1188,30,1153,27,1219,68,187.7,144.9,791,1.257,163500,277,818,46.5,645,2.7,15.6,0.61,2.4,2.95,0.577,13.56,4.47,56.1,21.69,100.4,21.56,205.5,41.76,10270,40,Below LOD,160.5,14.49,16.42,144.7,209.1,,,,,,,,,,,,
MK1-HQ04-015-169,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,5.02,0.18,0.3284,0.0083,0.31145,3.045067,0.07696119,0.1079,0.0031,0.35338,1818,30,1830,40,1771,55,115.4,53.8,468,2.106,135600,475,766,12.4,837,Below LOD,2.79,Below LOD,0.74,2,0.187,14.19,5.58,72.6,27.63,129.9,27.29,265.1,51,10210,420,Below LOD,147.2,17.8,8.8,48.4,115.9,,,,,,,,,,,,
MK1-HQ04-016-178,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.7,0.29,0.2639,0.0087,0.556,3.789314,0.1249224,0.1023,0.0067,-0.20178,1569,55,1508,45,1610,120,70.6,59.5,467,1.152,150000,210,830,Below LOD,504,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,166.9,Below LOD,10220,170,Below LOD,92.2,Below LOD,Below LOD,Below LOD,Below LOD,,,,,,,,,,,,
MK1-HQ04-017-179,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,4.47,0.14,0.3028,0.0073,0.4607,3.30251,0.07961797,0.1055,0.0024,0.29356,1722,26,1704,36,1724,39,172.8,141.6,1080,1.185,136500,204,770,11.9,694,0.019,11.9,0.112,1.74,3.43,0.49,15.75,4.96,59.4,22.87,107.6,23.46,233.4,46.9,8200,90,Below LOD,216.6,25.01,21.33,134.4,183.5,,,,,,,,,,,,
MK1-HQ04-018-180,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,4.89,0.17,0.3203,0.0078,0.24285,3.122073,0.07602925,0.1075,0.0029,0.41684,1803,28,1794,37,1760,46,145.1,73,593,1.92,139700,188,766,5.47,562,Below LOD,5.96,0.028,0.58,1.68,0.203,10.16,3.7,47.7,19.03,87.4,18.52,173.6,35.95,9840,-80,Below LOD,195.4,23.32,11.61,70.8,156.5,,,,,,,,,,,,
MK1-HQ04-019-181,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.388,0.1,0.2191,0.0055,0.22908,4.564126,0.1145719,0.1129,0.0027,0.37877,1500,24,1277,29,1847,41,359,295,1541,1.183,136500,577,783,20.8,1069,1.07,14.4,0.86,6.84,10.15,4.18,38.3,11.41,112.6,35.2,153.9,31.3,304,61.9,9370,-60,Below LOD,301.4,37.4,28.4,259.8,359,,,,,,,,,,,,
MK1-HQ04-020-182,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.99,0.14,0.2806,0.0067,0.3704,3.563792,0.0850941,0.1012,0.0026,0.11804,1630,29,1598,35,1638,47,148.9,135.3,1047,1.072,141200,1234,777,4.4,1024,6.7,52,2.28,12.4,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,34.38,164.5,36.17,344.1,70.4,10770,40,Below LOD,172.7,19.4,20.62,Below LOD,159.8,,,,,,,,,,,,
MK1-HQ04-021-183,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,2.094,0.082,0.1915,0.0048,0.41984,5.221932,0.1308892,0.0774,0.0024,0.28368,1144,27,1129,26,1118,65,226.4,135.2,686,1.648,142900,202,768,12.4,1513,Below LOD,Below LOD,0.215,3.92,8.11,0.614,42.4,13.3,149.9,52.1,220,42.2,372.1,70.5,9490,80,Below LOD,174.6,15.01,12.88,124.7,235.8,,,,,,,,,,,,
MK1-HQ04-022-184,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.95,0.18,0.2976,0.0073,0.1154,3.360215,0.08242463,0.0942,0.0037,0.37304,1634,37,1679,36,1503,74,76.6,77.6,611,0.965,141900,380,772,10.3,945,0.13,29.16,0.104,1.82,3.33,0.955,20,6.7,83.4,31.68,143.5,29.83,285.5,58.3,9170,160,Below LOD,96.6,10.08,11.9,73.1,82.4,,,,,,,,,,,,
MK1-HQ04-023-185,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.76,0.17,0.2834,0.0085,0.092102,3.528582,0.1058325,0.0947,0.0041,0.45578,1589,34,1607,43,1518,80,84,82.5,597,1,139900,365,778,15,848,Below LOD,29.53,0.06,1.27,2.66,0.831,17.44,5.99,73.4,28.36,131,27.69,266.3,53.81,9150,160,Below LOD,96.6,10.11,11.41,76.6,87.9,,,,,,,,,,,,
MK1-HQ04-024-186,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,4.84,0.16,0.3272,0.0082,0.48037,3.056235,0.07659268,0.1068,0.0025,0.27509,1793,27,1824,40,1744,42,208.6,99.9,873,2.05,141700,189,762,9.1,572.4,Below LOD,7.89,0.025,0.53,1.81,0.117,9.39,3.58,47.2,18.56,89.3,18.77,174.5,33.78,9770,250,Below LOD,273.9,31.39,16.21,91.3,213.9,,,,,,,,,,,,
MK1-HQ04-025-187,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,4.28,0.16,0.2694,0.0069,0.30341,3.711952,0.09507228,0.1121,0.0037,0.30986,1688,32,1537,35,1845,55,149.3,151.3,874,0.966,140500,473,760,6.8,1072,0.203,10.18,0.413,3.67,8.68,4.47,45.3,15.01,131.5,36.6,137.4,25.32,224.9,44.4,8600,190,Below LOD,171.2,21.45,17.67,146.7,161.7,,,,,,,,,,,,
MK1-HQ04-026-188,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,2.23,0.12,0.191,0.0052,0.027781,5.235602,0.14254,0.0864,0.0053,0.29421,1184,36,1130,27,1300,110,256,212,1040,1.188,149800,346,790,15.4,1350,0.132,9.39,0.439,5.88,9.9,1.1,45.8,12.9,139,48,204,41.6,378,73.7,9170,280,Below LOD,203,19.4,21.3,209,284,,,,,,,,,,,,
MK1-HQ04-027-189,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,6.3,0.18,0.3704,0.0078,0.20823,2.699784,0.0568529,0.1197,0.0026,0.48412,2016,25,2034,38,1968,38,145.3,28.14,269,5.085,138500,61,763,2.36,Below LOD,Below LOD,5.19,Below LOD,Below LOD,Below LOD,0.11,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,10060,250,Below LOD,219.1,29.33,5.22,25.86,151.9,,,,,,,,,,,,
MK1-HQ04-028-190,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.83,0.15,0.2802,0.0068,0.39517,3.568879,0.08661092,0.0983,0.0032,0.10165,1603,32,1592,34,1585,64,89.1,60.4,426,1.451,137900,249,777,9.79,542.1,Below LOD,13.88,0.0197,0.436,1.19,0.192,8.44,3.21,43.1,17.28,87.9,19.52,191.5,39.85,10290,233,Below LOD,100.8,10.94,8.34,55.6,93.1,,,,,,,,,,,,
MK1-HQ04-029-191,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,2.253,0.083,0.1417,0.0044,0.83539,7.057163,0.2191356,0.1143,0.002,0.2969,1196,26,853,25,1869,32,1360,1133,4070,1.179,138900,4010,901,128.4,10850,2.33,81.6,15.78,163.2,294,119.8,938,235.3,1722,371,1148,183.8,1407,214.1,9100,174,15.6,709,89.6,72.5,975,1310,,,,,,,,,,,,
MK1-HQ04-030-192,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.914,0.12,0.2836,0.0063,0.61517,3.526093,0.07832999,0.0993,0.0022,0.12145,1616,26,1609,32,1611,42,255.3,285.9,2076,0.88,136000,372,763,Below LOD,1758,1.1,66.7,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,12.07,147.2,57.9,273.2,59.2,559,111.2,10370,260,Below LOD,310.1,33.8,42.1,279.1,284.5,,,,,,,,,,,,
MK1-HQ04-031-201,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.075,0.1,0.1723,0.0048,0.70205,5.803831,0.1616854,0.1299,0.0025,0.027544,1426,25,1024,26,2094,35,623,940,3300,0.698,137600,5200,777,Below LOD,9500,Below LOD,Below LOD,Below LOD,75,770,152,2250,380,2530,344,810,115,820,120,9970,300,Below LOD,465.8,Below LOD,Below LOD,1020,713,,,,,,,,,,,,
MK1-HQ04-032-202,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.97,0.16,0.2884,0.0074,0.44746,3.467406,0.08896951,0.1008,0.0026,0.17201,1629,31,1633,37,1629,50,122.6,136.1,990,0.892,136100,302,786,10.2,780,Below LOD,20.56,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,66.1,25.79,121.5,25.63,247.8,52.2,8730,340,Below LOD,139.2,15.52,18.76,123.8,127.2,,,,,,,,,,,,
MK1-HQ04-033-203,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.36,0.13,0.2276,0.0059,0.35971,4.393673,0.1138957,0.1065,0.0034,0.021222,1489,29,1321,31,1734,52,483.6,126.3,953,3.87,137700,1020,777,6.43,1375,1.07,17,0.77,5.53,8.07,4.27,28.6,9.28,110.7,43.7,232.6,56.2,611,131.5,13760,190,10.9,428.8,51.1,17.6,109.5,485.6,,,,,,,,,,,,
MK1-HQ04-034-204,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.49,0.11,0.2671,0.0063,0.49585,3.743916,0.08830652,0.0945,0.0021,0.12216,1527,25,1525,32,1513,40,193,135,955,1.419,136100,390,779,12,1129,Below LOD,24.89,0.152,2.44,5.27,1.63,25.96,8.85,103.9,38.03,173.4,37.17,357.4,75.8,9000,25,Below LOD,211,22.2,18.7,126.4,201,,,,,,,,,,,,
MK1-HQ04-035-205,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,2.028,0.056,0.1819,0.0042,0.44553,5.497526,0.1269357,0.0781,0.0015,0.47825,1124,19,1077,23,1150,40,789,12.75,52.7,61.9,146700,352,781,3.43,952,0.032,Below LOD,0.094,3.82,16.3,5.94,58,17.8,147,33.2,108,20.5,190.5,46.7,13460,90,Below LOD,604,52.9,1.08,11.85,852,,,,,,,,,,,,
MK1-HQ04-036-206,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,2.83,0.12,0.2085,0.005,0.14918,4.796163,0.1150159,0.0964,0.004,0.54333,1359,31,1221,26,1530,79,240.6,114,471,2.57,140900,943,776,10.7,1522,0.198,3.21,0.254,2.39,6.23,1.19,39.1,13.45,159,50.6,212,42.2,372,68.2,11790,30,Below LOD,231.2,24.36,10.1,116,283.4,,,,,,,,,,,,
MK1-HQ04-037-207,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,1.82,0.14,0.1363,0.0083,0.96551,7.336757,0.4467724,0.0924,0.0019,-0.42196,1030,51,821,47,1472,40,826,1990,3950,0.66,138600,1920,774,26,4730,0.868,31,2.91,36.6,87.1,45.2,345,92.5,727,168,532,91.9,778,141.6,10330,50,12.2,498,51,93,2120,1040,,,,,,,,,,,,
MK1-HQ04-038-208,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.696,0.12,0.2723,0.0066,0.27669,3.67242,0.08901202,0.099,0.0026,0.47107,1572,26,1558,35,1603,48,125.9,89.2,602,1.397,135800,1199,779,8.95,2648,0.082,13.49,0.133,2.44,7.07,1.74,44.2,16.85,218.2,89.1,420,93.1,896,179.8,10700,60,Below LOD,143.1,15.6,11.82,84,135.9,,,,,,,,,,,,
MK1-HQ04-039-209,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,2.072,0.093,0.1928,0.0055,0.036177,5.186722,0.1479615,0.0773,0.0035,0.4537,1136,31,1136,30,1101,91,104.4,86.4,442,1.199,132400,175,768,9.2,469,0.02,14.81,0.022,0.61,1.06,0.138,7,2.71,36.58,15.26,76.8,16.89,172.9,36,10630,10,Below LOD,77.9,6.61,8.17,75.4,104.1,,,,,,,,,,,,
MK1-HQ04-040-210,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,2.65,0.089,0.2246,0.0058,0.38294,4.45236,0.1149763,0.0851,0.002,0.41216,1316,25,1308,30,1306,46,222,56.7,315,3.896,138800,151,775,5.97,394.1,Below LOD,8.63,0.0195,0.44,1.25,0.077,7.55,2.84,34.3,13.52,63.3,13.64,129.8,25.29,10000,130,Below LOD,198.6,18.68,5.95,51.5,227.8,,,,,,,,,,,,
MK1-HQ04-041-211,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,2.7,0.13,0.2237,0.0058,0.19554,4.470273,0.1159034,0.0859,0.0039,0.26032,1321,36,1301,31,1336,85,93.5,32.6,194,2.898,131500,173,759,14.3,423,Below LOD,5.61,0.04,0.96,1.9,0.111,10.24,3.32,39.6,14.55,64.3,12.98,119.4,23.3,8820,90,Below LOD,83,7.89,3.69,29.1,97.1,,,,,,,,,,,,
MK1-HQ04-042-212,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.545,0.11,0.2553,0.0065,0.23303,3.91696,0.09972676,0.0996,0.0022,0.40742,1535,24,1465,33,1617,42,225.7,161.6,1097,1.409,141400,485,812,43,1528,0.047,6.01,0.195,3.66,6.42,1.27,35.4,11.67,142.3,53,233.8,47.3,443,85.1,9920,104,Below LOD,230.5,25.58,20.91,146.4,234.8,,,,,,,,,,,,
MK1-HQ04-043-213,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.961,0.12,0.2839,0.0069,0.40748,3.522367,0.08560878,0.0992,0.0023,0.48903,1624,25,1610,34,1599,44,326.6,326.8,2379,0.995,140200,326,777,6.15,1061,0.275,42.8,0.11,1.23,2.57,0.487,18.06,6.54,83.9,34.37,168.4,38.11,366.4,74.8,11350,90,Below LOD,366.3,39.99,44,288,331,,,,,,,,,,,,
MK1-HQ04-044-214,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.544,0.1,0.2347,0.0058,0.63946,4.260758,0.1052936,0.1088,0.002,0.49216,1535,23,1359,30,1772,34,305,326,1529,0.928,140500,1043,787,29,2049,0.546,20.13,0.575,5.78,10.17,3.67,49.8,16.57,191.5,69,314.9,64.6,615,121.4,11090,60,Below LOD,296.7,35.56,29.89,301,326,,,,,,,,,,,,
MK1-HQ04-045-215,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,2.144,0.075,0.1609,0.0046,0.65195,6.21504,0.1776829,0.0961,0.0024,0.12969,1168,25,961,25,1536,47,239,82.4,485,2.87,138100,554,772,26,713,0.23,23.7,0.29,3.53,5.63,2.84,23.5,7.55,76.9,24.07,104.5,22.7,224,44.9,9460,140,9.8,168,18,10,79.9,274,,,,,,,,,,,,
MK1-HQ04-046-216,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,4.33,0.14,0.3003,0.0068,0.24834,3.330003,0.07540467,0.1044,0.0024,0.32343,1700,27,1692,34,1698,43,221.1,274,2019,0.804,136200,439,761,6.9,1554,Below LOD,47.7,0.125,2.17,5.3,1.81,31.9,10.74,133.6,53.2,242.2,51.5,477,94.9,9920,110,Below LOD,272.3,31.02,39.8,254.5,234.7,,,,,,,,,,,,
MK1-HQ04-047-225,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,4.79,0.15,0.3149,0.008,0.46301,3.175611,0.08067606,0.1079,0.0023,0.29497,1780,27,1764,39,1756,39,165.4,125.8,999,1.303,140200,572,765,Below LOD,1623,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,155.8,Below LOD,246.7,Below LOD,418.8,Below LOD,10360,170,Below LOD,229.7,Below LOD,Below LOD,125.5,189,,,,,,,,,,,,
MK1-HQ04-048-226,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.473,0.11,0.2417,0.006,0.48141,4.13736,0.1027065,0.1028,0.0022,0.30326,1522,25,1395,31,1669,40,374.3,461,3030,0.811,139000,800,759,12,2321,0.243,39.3,0.468,5.69,11.24,1.94,54.3,18.25,218.4,79.4,353,72.4,655,129.2,10140,190,Below LOD,388,43.5,60.9,438,407,,,,,,,,,,,,
MK1-HQ04-049-227,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.78,0.14,0.2771,0.0067,0.39094,3.608805,0.0872573,0.0996,0.0028,0.25884,1584,31,1576,34,1611,55,157.1,127,894,1.224,135200,294,767,11.2,802,Below LOD,16.24,Below LOD,Below LOD,2.26,0.416,15.31,5.48,69.4,26.95,125.8,26.69,249,49.86,9910,170,Below LOD,177.6,19.49,17.62,119,168.6,,,,,,,,,,,,
MK1-HQ04-050-228,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.87,0.14,0.264,0.0074,0.55563,3.787879,0.1061754,0.1052,0.003,0.42161,1604,29,1509,38,1719,51,157.5,276,1760,0.566,139700,774,787,15.5,1587,7.5,48.9,2.78,18.8,13.26,3,50.3,14.65,159.8,55.69,234.8,46.02,410.9,79.1,8820,40,11.3,176.2,20.59,35.3,267.9,171.4,,,,,,,,,,,,
MK1-HQ04-051-229,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.684,0.12,0.2735,0.0067,0.50853,3.656307,0.0895695,0.0962,0.0022,0.29031,1571,25,1558,34,1556,42,287.9,411,2940,0.696,139200,337,763,5.8,1372,Below LOD,58.9,Below LOD,1.66,4.2,1.37,26.1,8.99,113.1,45,221.2,48,467,99,9460,240,Below LOD,335.1,35.19,57.7,387,307.8,,,,,,,,,,,,
MK1-HQ04-052-230,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.551,0.12,0.2419,0.006,0.39286,4.13394,0.1025367,0.105,0.0031,0.31861,1537,27,1396,31,1704,53,224.8,143.9,929,1.549,133700,728,774,9.8,1885,0.339,12.28,0.197,2.19,5.25,1.16,32.3,12.2,157.8,63.6,302,66.2,637,121.1,11360,300,9.9,220.3,25.55,18,131.5,237.9,,,,,,,,,,,,
MK1-HQ04-053-231,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,2.82,0.12,0.167,0.0056,0.1367,5.988024,0.200796,0.1239,0.0055,0.54646,1354,33,998,30,1985,76,208,207,792,1.011,169800,4160,856,19.2,2810,4.69,34.8,2.84,20.7,26.5,10.2,99.3,27.9,259,80.1,334,64.9,596,112.1,8970,-886,Below LOD,210.6,28.2,23.6,288,325.7,,,,,,,,,,,,
MK4_HQ04_1,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.317,0.18,0.2471,0.0066,0.49073,4.046945,0.1080932,0.0972,0.0052,0.3287,1482,42,1427,35,1581,100,252.3,150.7,1013,1.695,132100,253,723,Below LOD,869,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,75.9,Below LOD,130.9,Below LOD,278.5,Below LOD,10710,74,Below LOD,257.2,Below LOD,Below LOD,147.3,261.2,,,,,,,,,,,,
MK4_HQ04_10,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.7,0.21,0.2712,0.0072,0.42169,3.687316,0.09789334,0.0967,0.0057,0.13737,1565,46,1546,37,1571,100,90.5,80.9,568,1.129,135000,241,718,10.4,736,0.098,17.63,0.092,1.14,1.88,0.342,12.36,4.66,60.7,23.75,114.1,24.44,240.3,49.4,9770,90,Below LOD,96.8,10.15,11.36,77.1,90.4,0.281896553,3.02E-05,0.000807192,1546,0.281802113,0.2821267,0.282052252,0.28187294,2.513376594,1.058257831,2.097986182,1.936631966
MK4_HQ04_100,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.497,0.18,0.2603,0.0057,0.4656,3.841721,0.08412528,0.0986,0.0051,0.23559,1528,40,1491,29,1588,96,230.9,252,1760,0.923,134700,339,701,10.6,1458,Below LOD,27.38,0.165,3.31,6.06,1.8,32.1,10.05,122.7,47.6,225.3,47.7,465,97.4,8700,54,Below LOD,225.6,24.28,32.8,236,227.6,,,,,,,,,,,,
MK4_HQ04_101,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.005,0.16,0.2153,0.0073,0.56011,4.644682,0.1574834,0.1045,0.0059,0.59586,1406,40,1256,39,1692,100,275,214,1189,1.306,137100,521,710,11.9,1126,0.173,20.18,0.354,3.67,7.1,2.49,35.3,10.5,119,37,171.4,35.4,354,70.6,9850,50,3.6,215.9,24.53,21.54,195,262,,,,,,,,,,,,
MK4_HQ04_102,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.41,0.17,0.2516,0.0068,0.48325,3.974563,0.1074206,0.0997,0.0051,0.57392,1505,40,1446,35,1617,94,365,402,2625,0.888,133000,394,715,15.9,1520,Below LOD,38.7,0.391,5.32,11.4,4.79,54.1,15.9,155,48.6,213,42.9,411,80.8,9920,69,3.5,326.3,35.3,47.2,368,341,,,,,,,,,,,,
MK4_HQ04_103,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,4.2,0.22,0.2899,0.0062,0.48572,3.449465,0.07377263,0.1066,0.0057,0.025012,1671,43,1640,31,1730,97,300.6,318.7,2564,0.926,138100,261,697,8.1,1828,0.093,23.63,0.351,4.97,8.81,1.317,44.2,14.05,167.3,61,267.5,52.4,471,90.8,9020,74,4.2,321.4,37.9,46.8,298.2,287.6,,,,,,,,,,,,
MK4_HQ04_104,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,4.35,0.24,0.3003,0.0088,0.32718,3.330003,0.09758252,0.105,0.006,0.48814,1701,45,1691,44,1706,110,84.6,58.6,460,1.416,132400,198,718,14.1,672,0.0196,9.88,0.162,2.87,4.38,1.33,19.5,5.91,65.3,22.97,97.8,19.22,182.2,36.3,7430,57,Below LOD,91.6,10.69,8.49,55.7,81.5,0.281519438,3.37E-05,0.000950404,1691,0.281708466,0.282019675,0.281946899,0.281488987,-7.79098659,1.180491895,2.834018131,2.678703961
MK4_HQ04_105,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.914,0.2,0.2884,0.0063,0.1869,3.467406,0.07574431,0.0987,0.0054,0.36188,1620,42,1633,31,1606,110,97.6,33.8,268,2.88,135700,108,699,2.91,233.7,Below LOD,4.89,Below LOD,0.081,0.36,0.088,2.89,1.111,16.34,7.33,39,9.27,104.3,23.3,10960,81,Below LOD,105.9,11.49,5,32,95.3,,,,,,,,,,,,
MK4_HQ04_106,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,2.88,0.17,0.2253,0.0058,0.5561,4.438526,0.114263,0.0948,0.0055,0.0078058,1380,43,1309,30,1507,110,146.3,135.9,757,1.05,132700,1129,710,19,1382,16.2,56.5,4.51,29.1,57.8,11.7,167,28.1,189,46.5,173.5,32.03,279.3,51.3,9340,56,Below LOD,122.1,12.74,13.57,126.2,140.3,,,,,,,,,,,,
MK4_HQ04_107,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.995,0.2,0.2458,0.0069,0.64019,4.068348,0.1142051,0.1183,0.006,0.36134,1635,38,1420,37,1929,87,356.5,253.6,1639,1.371,134900,946,726,22.5,2273,Below LOD,Below LOD,Below LOD,14.2,27.7,9.46,105.2,29.8,270,77.4,286.9,53,448,75.8,10430,99,5,317.1,40.7,29.43,232,334.8,,,,,,,,,,,,
MK4_HQ04_108,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.934,0.2,0.2825,0.0066,0.51164,3.539823,0.08270029,0.1013,0.0053,0.062724,1618,42,1603,33,1645,94,146.1,118.4,909,1.204,136900,308,704,10.2,850,0.34,18.45,0.12,1.23,2.72,0.812,15.38,5.13,66.7,26.75,132.3,29.67,301,64,9110,122,Below LOD,152.6,16.82,16.39,108.2,140.3,,,,,,,,,,,,
MK4_HQ04_109,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,2.892,0.15,0.2375,0.0048,0.13311,4.210526,0.08509695,0.0895,0.0048,0.39431,1380,39,1373,25,1418,94,186.3,162.2,1024,1.128,134400,306,699,4.11,1104,0.18,37.84,0.083,1.19,2.92,0.678,19.3,6.92,88.5,35.61,175.7,39.23,377.4,77.2,10390,111,Below LOD,155.4,15,18.11,143.2,171.5,0.282153947,3.97E-05,0.001144386,1373,0.281913513,0.282254015,0.282177577,0.282124265,7.475751647,1.387943051,1.657419198,1.490046517
MK4_HQ04_11,Blades et al 2021,HQ-04,-23.6365,132.7321,Heavitree,3.36,0.17,0.2488,0.0064,0.19795,4.019293,0.1033902,0.0983,0.0054,0.54842,1496,41,1431,33,1578,100,207.8,247,1568,0.867,138000,417,729,3.91,1621,Below LOD,46.6,Below LOD,Below LOD,6.53,2.13,35.9,11.47,139.4,52.7,248.7,52.5,507,100.4,10190,146,1.9,204.4,21.51,31.8,233,207.3,,,,,,,,,,,,
