Analysis,Reference,Sample_number,Latitude,Longitude,Formation,U238Pb206,U238Pb206_error_1s_rel,Pb207Pb206,Pb207Pb206_error_1s_rel,Pb207Pb206_age,Pb207Pb206_age_error_1s,U238Pb206_age,U238Pb206_age_error_1s,Th,U,Hf176Hf177,Hf176Hf177_error_1s,Lu176Lu177,Lu176Lu177_error_2s,Yb176Hf177,epsilon_Hf,TDM
6.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.261322344,1.223559494,0.10537187,1.17231142,1720.812905,21.5390922,,,78.72623759,246.4364466,0.281538,0.00002175,0.0003704,0.00000055,,-5.797356295,2.72656208
60.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.163868026,1.14531696,0.105907429,0.393090914,1730.122108,7.213895031,,,63.92224728,405.4290678,0.281721,0.00002375,0.001357,0.0000115,,-0.240436103,2.380537413
61.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.213559541,1.380328663,0.106808831,0.683243957,1745.660444,12.51435199,,,69.78995036,132.0256573,0.28169,0.0000275,0.0007484,0.00000245,,-0.287599844,2.395483
62.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.313386458,1.941058407,0.104674816,1.377549772,1708.608978,25.34890222,,,32.87967685,47.77235856,0.281553,0.00002325,0.0003738,0.0000007,,-5.542490411,2.701028377
63.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.735180208,1.230247109,0.09572972,0.610158379,1542.47348,11.47128824,,,188.5244871,233.4028471,0.282031,0.000021,0.0010723,0.00000105,,6.978055273,1.774153151
64.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.669254878,1.444792763,0.097585552,0.831622555,1578.486124,15.56106321,,,63.10854464,105.3416944,0.28194,0.0000275,0.000767,0.0000008,,4.861248758,1.937758248
65.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.535377307,1.469333988,0.098660524,0.840038887,1598.958245,15.67661909,,,132.8326498,100.5433766,0.28157,0.000025,0.0007119,0.00000065,,-7.758052117,2.756833926
66.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.202548293,1.328612146,0.109888292,0.615560057,1797.55394,11.20238362,,,153.8893428,157.8141406,0.281707,0.0000245,0.0009818,0.0000007,,1.186052499,2.341282594
67.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.286134186,1.229559558,0.107116039,0.52872568,1750.919303,9.677832178,,,118.2167187,236.3411404,0.281627,0.000023,0.0003964,0.00000265,,-1.992703958,2.508141505
68.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.623974278,1.736984461,0.097283239,1.127917452,1572.678159,21.12129867,,,71.34353527,61.091456,0.28156,0.0000275,0.0005675,0.00000135,,-8.541990396,2.786104273
69.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.546032532,1.289918166,0.099070616,0.644951753,1606.695224,12.02385051,,,133.0554761,183.8963651,0.281938,0.00002275,0.00089,0.000004,,5.281627762,1.932464142
7.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.429042207,1.593949825,0.103229888,1.534814269,1682.989267,28.33455549,,,80.02194491,88.65387373,0.281635,0.0000235,0.0003898,0.00000275,,-3.224165518,2.534226888
70.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.280570389,1.413429981,0.105448146,0.758674319,1722.142315,13.93693307,,,70.06063343,119.5543276,0.281641,0.00002275,0.0004808,0.00000065,,-2.238933088,2.501691599
71.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.188771978,1.520441955,0.102418014,1.37363574,1668.399112,25.40615682,,,81.31613829,92.58874958,0.281607,0.00002275,0.0004867,0.00000055,,-4.653612926,2.613748294
72.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.245996007,1.207798627,0.107578324,0.480576611,1758.798004,8.787883741,,,95.06250113,261.8994115,0.2817,0.000025,0.0007744,0.00000125,,0.328311022,2.366286145
73.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.471962513,1.462306587,0.102611277,0.830250822,1671.885157,15.34912529,,,53.99694219,104.7501757,0.281715,0.00002475,0.000603,0.0000006,,-0.8729273,2.376094974
74.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.105182548,1.527594401,0.107317236,0.809131291,1754.35342,14.80406131,,,72.78381492,88.176672,0.281645,0.00002325,0.000761,0.0000195,,-1.707126984,2.492603851
75.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.208038067,1.16059726,0.107443097,0.420734462,1756.497643,7.695804778,,,131.6332332,366.2845254,0.28169,0.000025,0.0006904,0.00000125,,0.021557281,2.384090792
76.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.524394088,1.453846856,0.100342937,0.875952266,1630.44863,16.28028556,,,241.8028387,115.604179,0.281645,0.000024,0.000445,0.00000055,,-4.106251606,2.549825707
77.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.251661884,1.192360067,0.104564969,0.479731341,1706.676653,8.829901192,,,109.893852,290.9998887,0.281481,0.0000225,0.0003523,0.00000095,,-8.117062233,2.862431543
78.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.741083364,1.315648032,0.095861842,0.718520969,1545.06601,13.50393443,,,241.2402021,166.732207,0.28199,0.0000275,0.0013929,0.00000165,,5.247307741,1.887308207
79.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.245156438,1.254316651,0.104615354,0.563596333,1707.563284,10.37235362,,,112.5341374,214.5719744,0.281661,0.00002425,0.0004959,0.000001,,-1.872297626,2.467157046
8.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,5.303253577,1.123558528,0.077310336,0.52012773,1129.206171,10.36023288,,,83.70132694,424.5709591,0.282031,0.000024,0.0003276,0.00000095,,-1.466901079,1.995930619
80.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.664312493,1.543002021,0.097944305,0.942413775,1585.349391,17.61834094,,,81.20210533,89.31353959,0.282025,0.00002375,0.001237,0.000006,,7.529115058,1.771648588
