Analysis,Reference,Sample_number,Latitude,Longitude,Formation,U238Pb206,U238Pb206_error_1s_abs,Pb207Pb206,Pb207Pb206_error_1s_abs,Pb207Pb206_age,Pb207Pb206_age_error_1s,U238Pb206_age,U238Pb206_age_error_1s,Th,U,Hf176Hf177,Hf176Hf177_error_1s,Lu176Lu177,Lu176Lu177_error,Yb176Hf177,epsilon_Hf,TDM
26.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,2.676,0.012,0.12792,0.00065,2070,9,2047,11,93,471,0.28152,0.000008,0.000882,,0.032702,0.7,2.6
37.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,2.573,0.017,0.13114,0.00144,2113,19,2116,17,52,97,,,,,,,
16.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,2.642,0.014,0.13133,0.00114,2116,15,2069,13,56,154,0.281476,0.000023,0.000788,,0.02382,0.3,2.7
39.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,2.535,0.019,0.13564,0.0009,2172,11,2143,19,147,259,,,,,,,
58.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,2.408,0.013,0.13692,0.0011,2189,14,2239,15,79,183,0.281323,0.000011,0.000548,,0.023646,-3.2,3
63.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,2.477,0.03,0.13817,0.00097,2204,12,2186,31,81,111,,,,,,,
36.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,2.351,0.015,0.15156,0.00146,2364,16,2285,18,242,195,0.281083,0.000015,0.000683,,0.032903,-7.9,3.4
11.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,2.334,0.017,0.15188,0.00152,2367,17,2298,20,132,90,,,,,,,
54.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,2.213,0.008,0.15943,0.00074,2450,8,2404,11,268,423,0.280936,0.000008,0.000423,,0.019669,-10.8,3.7
22.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,2.249,0.018,0.16009,0.0018,2457,19,2371,22,61,79,,,,,,,
61.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,2.172,0.026,0.16368,0.00082,2494,8,2441,35,92,168,0.281006,0.000016,0.000648,,0.029493,-7.7,3.5
65.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,1.795,0.022,0.20453,0.00125,2863,10,2854,44,65,90,,,,,,,
20.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,1.594,0.014,0.24813,0.00203,3173,13,3139,34,57,59,0.280748,0.00002,0.000748,,0.032017,-1.6,3.6
6.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,3.002,0.031,0.10726,0.00173,1753,29,1854,22,69,79,,,,,,,
25.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,3.51,0.014,0.10979,0.00098,1796,16,1616,7,118,321,,,,,,,
48.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,3.149,0.012,0.12267,0.00084,1995,12,1778,8,491,433,,,,,,,
3.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,4.082,0.014,0.11002,0.0008,1800,13,1413,5,280,496,,,,,,,
